indicator,release_time(utc+8),actual,forecast,previous,updated_at
FED_Rate,2025-10-30 03:00,4.00%,4.00%,4.25%,2026-03-19 20:55:27+08:00
FED_Rate,2025-09-18 02:00,4.25%,4.25%,4.50%,2026-03-19 20:55:27+08:00
FED_Rate,2025-07-31 02:00,4.50%,4.50%,4.50%,2026-03-19 20:55:27+08:00
FED_Rate,2025-06-19 02:00,4.50%,4.50%,4.50%,2026-03-19 20:55:27+08:00
FED_Rate,2025-05-08 02:00,4.50%,4.50%,4.50%,2026-03-19 20:55:27+08:00
FED_Rate,2025-03-20 02:00,4.50%,4.50%,4.50%,2026-03-19 20:55:27+08:00
FED_Rate,2025-01-30 03:00,4.50%,4.50%,4.50%,2026-03-19 20:55:27+08:00
FED_Rate,2024-12-19 03:00,4.50%,4.50%,4.75%,2026-03-19 20:55:27+08:00
FED_Rate,2024-11-08 03:00,4.75%,4.75%,5.00%,2026-03-19 20:55:27+08:00
FED_Rate,2024-09-19 02:00,5.00%,5.25%,5.50%,2026-03-19 20:55:27+08:00
FED_Rate,2024-08-01 02:00,5.50%,5.50%,5.50%,2026-03-19 20:55:27+08:00
FED_Rate,2024-06-13 02:00,5.50%,5.50%,5.50%,2026-03-19 20:55:27+08:00
FED_Rate,2024-05-02 02:00,5.50%,5.50%,5.50%,2026-03-19 20:55:27+08:00
FED_Rate,2024-03-21 02:00,5.50%,5.50%,5.50%,2026-03-19 20:55:27+08:00
FED_Rate,2024-02-01 03:00,5.50%,5.50%,5.50%,2026-03-19 20:55:27+08:00
Initial_Claims,2026-03-19 20:30,215K,,213K,2026-03-19 20:55:27+08:00
Initial_Claims,2026-03-12 20:30,213K,215K,214K,2026-03-19 20:55:27+08:00
Initial_Claims,2026-03-05 21:30,213K,215K,213K,2026-03-19 20:55:27+08:00
Initial_Claims,2026-02-26 21:30,212K,215K,208K,2026-03-19 20:55:27+08:00
Initial_Claims,2026-02-19 21:30,206K,225K,229K,2026-03-19 20:55:27+08:00
Initial_Claims,2026-02-12 21:30,227K,222K,232K,2026-03-19 20:55:27+08:00
Initial_Claims,2026-02-05 21:30,231K,212K,209K,2026-03-19 20:55:27+08:00
Initial_Claims,2026-01-29 21:30,209K,205K,210K,2026-03-19 20:55:27+08:00
Initial_Claims,2026-01-22 21:30,200K,212K,199K,2026-03-19 20:55:27+08:00
Initial_Claims,2026-01-15 21:30,198K,215K,207K,2026-03-19 20:55:27+08:00
Initial_Claims,2026-01-08 21:30,208K,210K,200K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-12-31 21:30,199K,220K,215K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-12-24 21:30,214K,223K,224K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-12-18 21:30,224K,225K,237K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-12-11 21:30,236K,220K,192K,2026-03-19 20:55:27+08:00
